zip,date,predicted_price,model_used
20010,2026-07-31,841835.5462520295,linear
20010,2026-08-31,843219.3877097219,linear
20010,2026-09-30,844737.2543135681,linear
20010,2026-10-31,851404.8710132355,linear
20010,2026-11-30,853156.1153572355,linear
20010,2026-12-31,854811.5592052354,linear
20010,2027-01-31,854731.0261465951,linear
20010,2027-02-28,856642.9547696721,linear
20010,2027-03-31,858794.5254542874,linear
20010,2027-04-30,861149.9422312104,linear
20010,2027-05-31,863066.2475927488,linear
20010,2027-06-30,864726.5176389026,linear
20010,2027-07-31,866097.6010812104,linear
20010,2027-08-31,867481.4425389026,linear
20010,2027-09-30,868999.3091427488,linear
20010,2027-10-31,875666.9258424162,linear
20010,2027-11-30,877418.1701864162,linear
20010,2027-12-31,879073.6140344162,linear
20011,2026-01-31,615896.160821851,arima
20011,2026-02-28,615867.5806929764,arima
20011,2026-03-31,615863.0466843784,arima
20011,2026-04-30,615862.3274002193,arima
20011,2026-05-31,615862.2132915469,arima
20011,2026-06-30,615862.1951891198,arima
20011,2026-07-31,615862.1923173147,arima
20011,2026-08-31,615862.1918617258,arima
20011,2026-09-30,615862.1917894502,arima
20011,2026-10-31,615862.1917779843,arima
20011,2026-11-30,615862.1917761653,arima
20011,2026-12-31,615862.1917758767,arima
20011,2027-01-31,615862.1917758309,arima
20011,2027-02-28,615862.1917758237,arima
20011,2027-03-31,615862.1917758225,arima
20011,2027-04-30,615862.1917758223,arima
20011,2027-05-31,615862.1917758223,arima
20011,2027-06-30,615862.1917758223,arima
20011,2027-07-31,615862.1917758223,arima
20011,2027-08-31,615862.1917758223,arima
20011,2027-09-30,615862.1917758223,arima
20011,2027-10-31,615862.1917758223,arima
20011,2027-11-30,615862.1917758223,arima
20011,2027-12-31,615862.1917758223,arima
20012,2026-01-31,770768.7674922533,arima
20012,2026-02-28,770772.2341391981,arima
20012,2026-03-31,770772.6389563269,arima
20012,2026-04-30,770772.6862287808,arima
20012,2026-05-31,770772.6917490138,arima
20012,2026-06-30,770772.6923936382,arima
20012,2026-07-31,770772.6924689141,arima
20012,2026-08-31,770772.6924777044,arima
20012,2026-09-30,770772.6924787308,arima
20012,2026-10-31,770772.6924788507,arima
20012,2026-11-30,770772.6924788647,arima
20012,2026-12-31,770772.6924788663,arima
20012,2027-01-31,770772.6924788665,arima
20012,2027-02-28,770772.6924788665,arima
20012,2027-03-31,770772.6924788665,arima
20012,2027-04-30,770772.6924788665,arima
20012,2027-05-31,770772.6924788665,arima
20012,2027-06-30,770772.6924788665,arima
20012,2027-07-31,770772.6924788665,arima
20012,2027-08-31,770772.6924788665,arima
20012,2027-09-30,770772.6924788665,arima
20012,2027-10-31,770772.6924788665,arima
20012,2027-11-30,770772.6924788665,arima
20012,2027-12-31,770772.6924788665,arima
20015,2026-01-31,1346146.9055985187,arima
20015,2026-02-28,1346148.455219742,arima
20015,2026-03-31,1346148.569018037,arima
20015,2026-04-30,1346148.5773749514,arima
20015,2026-05-31,1346148.5779886516,arima
20015,2026-06-30,1346148.5780337194,arima
20015,2026-07-31,1346148.5780370291,arima
20015,2026-08-31,1346148.5780372722,arima
20015,2026-09-30,1346148.5780372901,arima
20015,2026-10-31,1346148.5780372915,arima
20015,2026-11-30,1346148.5780372915,arima
20015,2026-12-31,1346148.5780372915,arima
20015,2027-01-31,1346148.5780372915,arima
20015,2027-02-28,1346148.5780372915,arima
20015,2027-03-31,1346148.5780372915,arima
20015,2027-04-30,1346148.5780372915,arima
20015,2027-05-31,1346148.5780372915,arima
20015,2027-06-30,1346148.5780372915,arima
20015,2027-07-31,1346148.5780372915,arima
20015,2027-08-31,1346148.5780372915,arima
20015,2027-09-30,1346148.5780372915,arima
20015,2027-10-31,1346148.5780372915,arima
20015,2027-11-30,1346148.5780372915,arima
20015,2027-12-31,1346148.5780372915,arima
20016,2026-01-31,1096181.5537878547,arima
20016,2026-02-28,1096172.996406394,arima
20016,2026-03-31,1096172.35798124,arima
20016,2026-04-30,1096172.3103514037,arima
20016,2026-05-31,1096172.3067979703,arima
20016,2026-06-30,1096172.3065328656,arima
20016,2026-07-31,1096172.3065130874,arima
20016,2026-08-31,1096172.306511612,arima
20016,2026-09-30,1096172.3065115018,arima
20016,2026-10-31,1096172.3065114936,arima
20016,2026-11-30,1096172.306511493,arima
20016,2026-12-31,1096172.306511493,arima
20016,2027-01-31,1096172.306511493,arima
20016,2027-02-28,1096172.306511493,arima
20016,2027-03-31,1096172.306511493,arima
20016,2027-04-30,1096172.306511493,arima
20016,2027-05-31,1096172.306511493,arima
20016,2027-06-30,1096172.306511493,arima
20016,2027-07-31,1096172.306511493,arima
20016,2027-08-31,1096172.306511493,arima
20016,2027-09-30,1096172.306511493,arima
20016,2027-10-31,1096172.306511493,arima
20016,2027-11-30,1096172.306511493,arima
20016,2027-12-31,1096172.306511493,arima
20017,2026-01-31,532071.8730710609,arima
